split_id	conclusion_class	evidence_class	comparison_status	fasttree_present	iqtree_present	fasttree_support_fraction	iqtree_support_fraction	support_fraction_delta	serious_conflict	detail
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025	stable_clade	strong_stable	shared	true	true	0.999	1	0.001	false	clade is present in both trees without a support disagreement above the governed threshold
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_20_2025	stable_clade	moderate_stable	shared	true	true	0.87	0.84	0.03	false	clade is present in both trees without a support disagreement above the governed threshold
bat_chile_rv108|bat_chile_rv50	engine_specific_clade	high_support_conflict	fasttree_only	true	false	1			true	conflicting clade carried strong branch support in the tree where it was present
bat_chile_rv108|bat_chile_rv50|cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021	engine_specific_clade	high_support_conflict	fasttree_only	true	false	0.968			true	conflicting clade carried strong branch support in the tree where it was present
bat_chile_rv108|bat_chile_rv50|dog_pakistan_pdb011	engine_specific_clade	high_support_conflict	fasttree_only	true	false	1			true	conflicting clade carried strong branch support in the tree where it was present
bat_chile_rv108|bat_chile_rv50|dog_pakistan_pdb011|raccoon_dog_poland_2021	engine_specific_clade	high_support_conflict	fasttree_only	true	false	0.997			true	conflicting clade carried strong branch support in the tree where it was present
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|dog_pakistan_pdb011|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	engine_specific_clade	high_support_conflict	iqtree_only	false	true		1		true	conflicting clade carried strong branch support in the tree where it was present
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_poland_2021|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	engine_specific_clade	high_support_conflict	iqtree_only	false	true		1		true	conflicting clade carried strong branch support in the tree where it was present
cattle_russia_4092_13_2025|cattle_russia_4092_15_2025|raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	engine_specific_clade	high_support_conflict	iqtree_only	false	true		0.99		true	conflicting clade carried strong branch support in the tree where it was present
raccoon_dog_russia_4092_26_2025|red_fox_russia_4092_18_2025|red_fox_russia_4092_20_2025	engine_specific_clade	high_support_conflict	iqtree_only	false	true		0.92		true	conflicting clade carried strong branch support in the tree where it was present
